,returns,vol,sharp,LCTX,CALA,NERV,HLX,VBIV,CDXC,ECOR,JILL,WTTR,CHRA
920,0.5377615339229856,0.48468228416087034,1.1095134926460357,0.16370443814252925,0.09293105949603515,0.12439834304325043,0.12753189518456154,0.1343613334233686,0.18227944584042016,0.017473321100441797,0.053875524440096745,0.07418772115641775,0.02925691817287861
1441,0.537744410713975,0.6300932564743761,0.8534362258102399,0.20632692540073932,0.022266863278808998,0.04007637003424111,0.06489054856358338,0.007026783911374839,0.06564928779575419,0.1848611493663811,0.050628122592802735,0.18287969868732448,0.1753942503689899
1674,0.5374785064841222,0.5742044137548463,0.9360403605563296,0.06621422991211902,0.11255598937325491,0.14803997184212678,0.05543401187479565,0.09320562529609634,0.1597612132667153,0.1799059178933374,0.06029684179339393,0.11669567246073047,0.007890526287430016
1808,0.5374644749439196,0.5212000870733392,1.031205650716424,0.1967522348999672,0.0044745846672075715,0.051513393871053734,0.0415515833035262,0.09079931112106186,0.13955361159810506,0.08125773675537876,0.05664138669801106,0.1523868853022454,0.18506927178344312
1929,0.5373853864250202,0.5496083600410047,0.9777605755213176,0.16342289281925101,0.08738588247703423,0.1579078247501569,0.06673009358705147,0.09575163992576274,0.07107873089899773,0.12225032298882474,0.09347391808025053,0.03031278592132896,0.11168590855134168
1874,0.5373729868882022,0.5993934006738858,0.8965280336487601,0.1382501057837062,0.038458041736083304,0.07048261598582028,0.18469947482412527,0.059071869304202926,0.15300887361698354,0.15994405592257124,0.16617358275448293,0.0007283413988102873,0.029183038673214038
724,0.5372633273674737,0.603006104613658,0.8909749391537168,0.1544311111156035,0.1424982358538141,0.1653460836985901,0.04926695144550411,0.06830612350842298,0.027498847118995,0.1732603291389448,0.057932180488752004,0.03089114929744978,0.1305689883339236
1719,0.5372115382473402,0.5279202500113053,1.0175997951126823,0.14995224142268493,0.13718211719840523,0.0397746697537492,0.06310320979590107,0.17974259344977844,0.06429877010032276,0.03596229548689322,0.17294593261325056,0.11359309651589686,0.043445073663117624
146,0.5370613750041828,0.5583880906952243,0.9618066430025602,0.08741786291579046,0.013282575541870003,0.014597782014898806,0.0020446306398271903,0.10023405621986298,0.28792070252338287,0.15276346608258357,0.1557326143197602,0.17311809500594852,0.012888214736075218
1151,0.5370323459588778,0.5063047998151978,1.0606898179809783,0.10046435817375435,0.008863487920343109,0.06901866200816681,0.0990136799421075,0.18053867327738238,0.14947453285609652,0.04861085113933607,0.06414714111405338,0.11020308238638796,0.16966553118237185
1248,0.5369827653184458,0.5151242636177098,1.0424334539150302,0.11242413583617815,0.06324090341981976,0.11098467990470816,0.0726717288945576,0.10646520931241116,0.15627627531951827,0.11520300759728803,0.03057610677770114,0.14872616380944062,0.08343178912837716
849,0.5369187244931325,0.5526923007376588,0.9714604740766717,0.2082945358504663,0.21334287609616018,0.05576867584724595,0.247824139654819,0.053833803940828845,0.06265791041739843,0.07135483707834722,0.02842660657341884,0.04179914991752802,0.016697464623787177
1892,0.5369169192166452,0.512789750082883,1.0470508022632328,0.10256755236206865,0.008455381500318887,0.12939834018282975,0.0889436090670387,0.1388790076725159,0.15275960451912743,0.09215204970382566,0.078071806496086,0.12324973034659245,0.08552291814959652
1575,0.5368288884905037,0.6397156575420777,0.8391679680830595,0.11603386345839764,0.10011086207425778,0.07361216156692246,0.1111369832457867,0.013956464372210382,0.15336700136084394,0.22496268802974823,0.016924564214070514,0.08981000343931472,0.1000854082384476
1053,0.5368222162047898,0.533392417539201,1.0064301601462806,0.10881241777723935,0.04057090223662603,0.20505941358144886,0.004129445088184434,0.10614928253013113,0.15995127024433958,0.12656080978376624,0.002008148994708248,0.15042065684994657,0.09633765291360952
1110,0.5367785328405178,0.5887365801685811,0.9117465279409249,0.1566397983950102,0.13656886370388643,0.058580729154354465,0.0742318739356933,0.07135810314848308,0.06008108209747919,0.16289848241458654,0.07196847308262931,0.038739376076911865,0.16893321799096556
186,0.5363490875236961,0.5692740082958013,0.9421633162724742,0.15874168776988426,0.12248445748852746,0.06530957944414593,0.014996299806582122,0.07936870845050141,0.06468817422706101,0.15490342832226606,0.10328752907825922,0.12946039541174362,0.1067597400010288
358,0.5363423550430068,0.5183961745811508,1.034618659129489,0.07883620674958806,0.001602294990858217,0.09265485710198423,0.11290103086295615,0.14105667313100684,0.16782283820491867,0.09936307811493383,0.061324680337054314,0.15219508073428437,0.09224325977241538
1044,0.5361326999675629,0.5162577022390749,1.0384982105686513,0.1963887477535929,0.09898821355984626,0.07929846734036841,0.0691150461692311,0.11464725564872544,0.14358177841244707,0.061640136116296124,0.1590616919347665,0.0010637083899828264,0.07621495467474335
820,0.535898483674297,0.5718367969053165,0.9371528495096652,0.058413288762038496,0.06938032005151089,0.030706060902307392,0.1939268342527769,0.17525399529776262,0.04890560722046278,0.11082142217208729,0.09776032078220186,0.027053203381771286,0.1877789471770806
1986,0.5358464194509952,0.5296042517373899,1.0117864758319586,0.08997762806572819,0.11551752198045236,0.06879461828417709,0.056205476173936876,0.12824128018960787,0.11161033575446169,0.12356496631075455,0.013946818774422134,0.15606414921512854,0.13607720525133069
529,0.535737997390931,0.5740681837491548,0.933230603187421,0.16824159499895022,0.004653780909163564,0.2082999528023581,0.2196357075987387,0.05355239467471714,0.07648618473462768,0.10908593585281214,0.057750902604193965,0.10216950501635305,0.0001240408080854718
1721,0.535520648445116,0.5814052140682555,0.9210798862602688,0.03999775352285364,0.06604923831230707,0.054862292596530686,0.0030496841084368927,0.13022571693970447,0.1784834434187385,0.18126344457587398,0.1120341849233529,0.15096644951196783,0.08306779209023396
1397,0.5354654187159866,0.5708596426596156,0.9379983777120265,0.041209939998594985,0.17032010451208787,0.1923016150636052,0.010856370884215998,0.15093669222076514,0.06528858187775322,0.1548912434225373,0.015943515833883863,0.12317466098036567,0.07507727520619066
579,0.5354642387170405,0.5436751927493365,0.9848973171080814,0.12786668506920604,0.12224326081536528,0.03146192202230546,0.1258234498393603,0.1351090604097388,0.05679811062771161,0.09088322555680992,0.1449646539868784,0.1363285193574629,0.02852111231516126
570,0.5353556675737722,0.5576957088588934,0.9599422392350276,0.07972371383203952,0.1586505245071908,0.12869669316650167,0.06929839231313263,0.13088980166460856,0.10721015243581074,0.14265132132784572,0.03475192616171702,0.0016867445414389328,0.14644073004971442
