,return,shp,vol,SCG,YGYI,TEUM,GEN,CFMS,ASRT,PTN,SONM,AVCO,USWS,PTE,RMTI,SVRA,HNRG,CSLT,TXMD,GERN,REI,OSG,CCO,TH,LEE,UEC,NEXT,FTK,AGE,GALT,ACRX,PEI,RRD,MLND,TTI,PHUN,MBII,ATHX,CHS,TYME,ANH,XELA,ADMA,EXPR,SB,NR,ECOR,SND,WTI,CASI,NINE,DS,MRKR,PIRS,ABEO,GORO,CRBP,AT
638,6.602265086303874,13.313294977839464,0.49591518082440306,0.02187391427452411,0.01570642244458632,0.032940380401491005,0.03563773703931404,0.006608662169984995,0.020428447984079567,0.023391785856352793,0.0403471910397452,0.0005235821587625531,0.03732043508251091,0.028037831250402743,0.012247985633021917,0.025954609254193777,0.009526793932270947,0.02062900903059107,0.010193521800911596,0.0012088023058599115,0.013210604803138315,0.015799416250719577,0.020594292081204668,0.0217252902448367,0.00020536933563225105,0.01852253925227302,0.03057810059034553,0.0041407901256141745,0.027572592082063484,0.00014737991127715223,0.012037893390218811,0.027123146890777574,0.006155797872622548,0.0030509418444582973,0.028829773415360867,0.032187022733605054,0.014883948403902102,0.01939128148557675,0.028478319757802857,0.014982927490700092,0.0036185431742510885,0.03420342592470437,0.010159432619613334,0.03177593107348857,0.010354647913081329,0.00296373848786407,0.03422865387337423,0.022886972813109734,0.03552662653696178,0.0033754968831343633,0.006819494444384223,0.03705589275162729,0.010763831964673032,0.0037133417076863694,0.006652223255032443,0.016835566415505987,0.02397554355743712,0.022896096983337406
1215,6.589783948441762,12.35130685179718,0.5335292878326405,0.004971743927296529,0.024070249885870452,0.0047441235086221265,0.02840877103759328,0.036093062674502456,0.034811671340840886,0.0006300895645396449,0.020246868065799565,0.023885342107205117,0.020178332102959388,0.009598051111067834,0.010975369359210813,0.02007501627366899,0.03084941390098215,0.03069457364548976,0.011793536556569248,0.02809935121298014,0.027759744669592475,0.006981210260696427,0.009879770004729782,0.030384910947131815,0.01836124096486791,0.021367974382705,0.0058685508960771085,0.02393419443337094,0.02858773092834599,0.03519354350793472,0.037579335321228625,0.022685833190429296,0.002549588494193231,0.003371869569800249,0.020359789039127083,0.003329419372842496,0.02641605097631449,0.009377471679132358,0.029654362928027953,0.02657513426255135,0.010268678611678175,0.030525556658997997,0.010849440718596117,0.035963757085340574,0.016817612290893805,0.012982544815651444,0.03767424235994527,0.005689445002598566,0.00541360262672606,0.018616092127204973,0.021661777285565644,0.0022585286717143227,0.017013320771116877,0.004734261924471342,0.023762539466155252,0.0025530526323368605,0.0035079944677206274,0.00936426037898848
1616,6.507409499561175,13.999104157265654,0.4648447090940297,0.008810412535085922,0.02495268501753154,0.02074152910157075,0.016039937166636566,0.00923854542705696,0.02237300463614653,0.010718937827723556,0.016488910937004844,0.02067989298033721,0.03270305306647883,0.03253583443728571,0.012370293386698433,0.00983317666121732,0.033852463196710994,0.006618851209346855,0.015757700640316938,0.021218497969713573,0.032626167690028976,0.0016708639542829364,0.01854970778983026,0.023343833037026373,0.012265316856142716,0.020727083140666548,0.009793395476581557,0.03456804398520355,0.02403721418097476,0.006037181851796915,0.007587538563436546,0.034326569229279486,0.029505116692223634,0.0016829911562763558,0.029353681198274993,0.018063600711316515,0.031703178106159115,0.02365457659036312,0.031881559915668274,0.0019050068664651372,0.004183186112898919,0.025262352005113873,0.010533731609915114,0.031165135032515175,0.014960666568068439,0.00879916121938983,0.019112237131078406,0.024603327639329625,0.01096665135382771,0.009631300573976272,0.0072795164001272965,0.01116090925620238,0.028054024104214398,0.0022041778980293296,0.02337846304317004,0.009213629125573384,0.02092731345110048,0.030347864286609176
1228,6.4822805759294235,11.654158441404332,0.556220391933191,0.0006779663951649086,0.008796257189329783,0.024817913686078233,0.007079503038863172,0.03516138717080996,0.004608871809404255,0.012650867345509824,0.004621493447131389,0.0043094308019170115,0.015525250378412304,0.03160609615325239,0.0022171607812958736,0.006394449420067334,0.005920120614313963,0.0030328233305935985,0.020515327255375214,0.020500232775370945,0.03947118006464325,0.025646871588322556,0.0010370313053421414,0.0011737515060220786,0.02607593956831485,0.025073897583384328,0.007637426922821527,0.014475718607880281,0.0036267995789225358,0.02681471582093562,0.0077656353843195015,0.02679247097564584,0.029589305756591112,0.03574016071083707,0.013543497190106694,0.013386213170131432,0.021192618554825224,0.019211882134110698,0.029420303673411065,0.03270217980502134,0.006143921286647215,0.039771772981472844,0.03546776497385357,0.0396056494662207,0.004676348743610187,0.00570576197662934,0.022248409148527246,0.02779599545228112,0.02027895216668088,0.036499901360704044,0.0011211954682209338,0.02657077037048499,0.019226259838928648,0.0021529422926401007,0.04134396149486217,0.016694026849726526,0.007137115082259449,0.038746499551770855
533,6.428134179948435,13.104113981636171,0.49054321329596845,0.0019301990574522208,0.02387296107423264,0.009400523353180437,0.024003696957662763,0.03506394349270638,0.03409805096479255,0.006900396504913977,0.013839922393417463,0.02004353729418685,0.009406987348706382,0.030094917939179705,0.004026764611526866,0.0054866350982169815,0.02138228226146154,0.013762141159380415,0.0056305585474274635,0.008902595485777662,0.03011336656249566,0.02007191594310618,0.01205473777262733,0.020663011738801158,0.0363729427320779,0.027814675586429315,0.009589265070891625,0.017602675172003722,0.031037926666201678,0.001357827069028398,0.0063292217639623,0.024465080586035255,0.013221401276802991,0.012679402056573336,0.009545999483729986,0.02311780797850935,0.009076180186781168,0.02365454596914507,0.03332287752946565,0.03199031152387951,0.004438877729905352,0.031002408237302482,0.030076802439291825,0.03080452799233554,0.03255494631136166,0.013064971686009313,0.03196651894804566,0.006584454092033868,0.0070425609336038164,0.020638348128042123,0.0061309350541647765,0.018044004864743154,0.020633614029568075,0.01671428986404546,0.01315998047246753,0.034079391720416435,0.010760896386423415,0.010375184897469561
1213,6.422938073517747,12.09023249816393,0.5312501702918583,0.02984525406874048,0.0029650872288398793,0.006582283212272505,0.028010009541664584,0.012679937434542942,8.916516852294643e-05,0.016827525073564338,0.02863868494638298,0.008206438971307618,0.03326951522904956,0.02017682973192952,0.013196342324914545,0.038081092091585236,0.028201691441333505,0.006205213341734781,0.006523249180175628,0.025787229886210277,0.0013125687851933702,0.01914068254139293,0.03553753789881867,0.01673985526185691,0.023102233319442222,0.012381211425284505,0.01780436284868724,0.024916495120344273,0.017466367282775213,0.003353414682551722,0.0075093850687202954,0.037406636313550845,0.020880021095865498,0.01735430495635431,0.03199202966157798,0.025463502299416345,0.02130032696021195,0.026099755496316306,0.024647387450990176,0.033070485771978776,0.020427703311987948,0.03324378888873074,0.002549059675155184,0.03872254765819513,0.0030374071539405953,0.01817222380670292,0.025078423898471734,0.012967976708549657,0.01327756649850384,0.019792498064767544,0.005295542239810518,0.002290666082538197,0.016194152238747997,0.009953070709037339,0.03267457575664626,0.0037921915154343583,0.009486715927337535,0.010279776751341677
1519,6.413977503270939,13.813970967703513,0.4643109152514183,0.010704538104340407,0.00642460086373876,0.013583366568992413,0.022104053550658614,0.015710259345878032,0.02264513190796836,0.025410734183256935,0.034121062830446205,0.015598742278740078,0.018191155488128583,0.027940429531599614,0.030814384134271542,0.015627180935798013,0.011938482220567056,0.02679815737524275,0.025519007626545152,0.03155164094193383,0.03348995477203806,0.012522508029963133,0.0054643347643395564,0.01564320545603357,0.02650198826113304,0.014256686141970462,0.0021110457527103873,0.0024654687289153107,0.0046088427240993345,0.006803228287188184,0.02449129633921498,0.02798431159926197,0.0013350415769227992,0.03216297553997907,0.03314374990327262,0.017138907074390773,0.022654250087655467,0.0017308586818400788,0.03198761430878134,0.035493357733721996,0.01687127901192891,0.02207072845585633,0.004067353720841395,0.0281649264363743,0.02572282755835618,0.0013245271227756185,0.002367772762203027,0.015514162309686889,0.010149090519396617,0.014982228791550386,0.022630980293378816,0.010380962204325446,0.01580123930419342,0.034146541359273246,0.012709849323806087,0.014381281553157507,0.015832241743110147,0.02620945387824735
872,6.367172831786159,12.04519272622654,0.5286069701419245,0.019867530861096397,0.03770852543619233,0.029236084452015833,0.011584825938805493,0.012140614415177385,0.0025227179531237707,0.027419155132121297,0.017871485857239307,0.0071178682377923954,0.03228487131929196,0.03525804883521282,0.02475017986270226,0.018311900053627195,0.0173398477568234,0.03131955948159621,0.02710352767060616,0.0006490301950391036,0.03270156306124931,0.0012589738629389176,0.005854062191893421,0.01005456519123644,0.0030831700039668218,0.01719996722096416,0.02215738975983137,0.012104506564927479,0.002037856465841106,0.0013097828630331209,0.0042615397613818854,0.005016598866774475,0.030217234383930567,0.03274256354810854,0.017814836685099616,0.0048380624091077335,0.0001533170213818205,0.016721942063598685,0.030643931323186435,0.029229583513253596,0.0012500665549830875,0.03836708964417363,0.013938964870437956,0.03857757978221776,0.023236777255922488,2.9090695914613036e-05,0.019871610628744645,0.004231137800325174,0.012212929996038785,0.022337383088543723,0.004402623620494222,0.036584657167479065,0.010191953746034946,0.0366340364759848,0.020014161017254353,0.036784587147061766,0.03636727659014354,0.013080853698076463
571,6.3591823460352686,11.711426163215448,0.5429895776492958,0.010961044536022362,0.02203351155540815,0.002900128541113828,0.009983090539811907,0.015880478506853875,0.025279890983071245,0.010828546976637578,0.03743869961342404,0.01854319857464577,0.030418794883879857,0.0029909654608687893,0.022051736999227002,0.034873653363764016,0.014574257033022349,0.03483975928532106,0.011951920126447127,0.01998757530445532,0.018658639241395165,0.00525400692765819,0.00411342276143774,0.004980076129764324,0.019424244064003487,0.011158408780974356,0.018695956540923285,0.025749513555632826,0.013422573321753914,0.02749752656160987,0.00535615675802315,0.020827053113582506,0.005554526193374188,0.005160345763389995,0.0016273505140751876,0.014706436134580931,0.030804990044952834,0.0094345656415866,0.020517589336700136,0.03118802055912364,0.036521569755073306,0.03716385797507167,0.03565052236300298,0.037447258797950425,0.008457919324074544,0.025027003281131516,0.0011613707424426793,0.0003498350812271391,0.0012016871701983876,0.0010196546831279802,0.0289739001746433,0.020980372777224095,0.03877718713496734,0.034472301210645116,0.03577966056170693,0.003576882147475968,0.015665311815836955,0.01810505077568291
0,6.35608890600903,12.344435197644549,0.514895076546057,0.00480627107761107,0.0017027309176610257,0.0042929973172061075,0.02469407619225533,0.016068097074095657,0.03204265267195023,0.010814257108496064,0.006372143280625216,0.03170757386878442,0.009043209644656639,0.01791857548963263,0.012954287928074931,0.0075672644027733145,0.009665921394882447,0.0286942192084079,0.020672014274735688,0.012687257528158339,0.01992809333823335,0.00103454040279816,0.021107646701716647,0.004622417772472598,0.013612617858212214,0.009060046867194884,0.013920987193426524,0.022885392920756798,0.028428507786319387,0.0008016052913283917,0.023410563179865933,0.0244488114842353,0.004509373371552133,0.007475524580819544,0.015561035151739209,0.03475698820175738,0.026855274029573897,0.03460791400578114,0.006572064977497824,0.031246810613990376,0.0034595814695767124,0.01601369108639458,0.01712882471888323,0.03482443394523351,0.01960203874250408,0.016241264039390753,0.02857200118219391,0.03620917267265528,0.012813231095574504,0.0254098975080739,0.015188856170793576,0.0354645328474013,0.03590668907237467,0.022134363855237715,0.03631582996476267,0.02795306613794184,0.018691436069115934,0.0015213243126133585
441,6.348405436774378,13.922932006158131,0.45596756731746374,0.01051493310059746,0.021256168592838968,0.003150044981073307,0.02521069950146111,0.031831339155759565,0.03092151226909307,0.011581901165118537,0.02957463929309046,0.014557653766921192,0.028999276262263757,0.02780809207197845,0.026891642269144714,0.013006699941961613,0.00586586552403052,0.004789190067096594,0.0019049736705862958,0.010442648637814697,0.03325477512636401,0.007070278932935535,0.005580704083371117,0.012297630668496873,0.016399856502594245,0.019529188117850413,0.01838795713258484,0.0073175373366209245,0.013933115602934292,0.019779609279257267,0.01887964786707499,0.012698231523168488,0.027844204049199846,0.02435600320440996,0.02495654568856055,0.02185782274689474,0.010735499037449166,0.031033225124429163,0.01638282302909883,0.029579669493207703,0.027358068474065366,0.02373294191966634,0.0016506930257617028,0.029103886448128783,0.01728151178645028,0.00800411428284511,0.02851561753453913,0.02781100906915662,0.01874898119750957,0.03205837059429461,0.0004273578348030409,0.028738979085448556,0.01641479228900525,0.006971340507821632,0.009409455909592863,0.019864921340436274,0.015631639992422935,0.01809471389071871
664,6.323671683400282,12.194132608618228,0.5185831486637282,0.010324883473316627,0.03403534874909657,0.009154145123256826,0.018263305474472868,0.010266317664612694,0.01513955519437162,0.004228534807589839,0.006019616196832612,0.03432222189366663,0.030036822464640043,0.015800693388828488,0.01984503798330592,0.030682156036939502,0.022014524724792605,0.03722486443926043,0.00028973163589421743,0.00031954100436620364,0.018211696218249376,0.008131359860910868,0.0317330589052262,0.026328920334482607,0.011871453365243778,0.009601945062952446,0.00025838264551369044,0.03359489004928296,0.031099000355855774,0.02639700522758114,0.01518492144988929,0.008341874240269677,0.009639145826634008,0.002535067957857725,0.031850360253797214,0.03539154899831463,0.004964928081039205,0.01707117033449717,0.035160188581582985,0.0032339193099746757,0.013694297900136076,0.034757557367811574,0.019977951873988122,0.03607800431664216,0.02278512846790814,0.028669541437932152,0.006657557298379979,0.007063324276614286,0.019548924803733596,0.010700855457319762,0.008593179638326566,0.021423813059169808,0.02115151430224216,0.027222231320016017,0.03404972290984621,0.008368683995248443,0.018452227605763094,0.0022373466545225974
713,6.320894463359892,14.524375824832966,0.43519215831311525,0.010592502345589403,0.010742983386909415,0.0006781890203233504,0.029901874693704762,0.02200552768876116,0.021011826390758603,0.013724330232097936,0.006628570901345872,0.005245902169413986,0.0199406397373942,0.013396134998049382,0.02698431165865786,0.0378655974457882,0.01044420974537724,0.020410941367277356,0.009689881813795211,0.011165291546899573,0.03333558566769943,0.0413243398484924,0.005644685710645244,0.03667346825876754,0.021438698544267134,0.021187652444617715,0.007411273088663982,0.02709226080031145,0.01039433582569842,0.01845059722080279,0.0067101456830040785,0.02777791994658768,0.012573000881451189,0.014341273778058137,0.03771353566017162,0.020517792529079017,0.0017880510411813762,0.021550109237634313,0.018870009227616127,0.02054476516313924,0.008047439376585478,0.040288852434246,0.022199218989777104,0.018431527762440326,0.0206077376792103,0.03399620468111954,0.007980571586073192,0.002749124758134809,0.005889279692172863,0.0035022067419310135,0.007895784510148824,0.020982487536896896,0.01968601690932919,0.024408859852664656,0.01282203744346914,0.004442055713979922,0.029934499894308006,0.04036787873748023
1,6.317303941995275,13.271132686411008,0.4760184447906158,0.01414403558188443,0.03505584235357913,0.028422146143737392,0.007026961072082664,0.01039595201983375,0.033134071245322944,0.004003846819877292,0.0030723363117597293,0.008869676806988542,0.025300237878653542,0.02432992843143686,0.01746559438240209,0.010312296353692442,0.027131038197585573,0.005837614203067941,0.002821449207319605,0.010737166118298341,0.023028095911785743,0.005334482676856441,0.03843842217269611,0.016831246721240454,0.02082683170148715,0.019526011714062878,0.017761310270178493,0.0009731645795858949,0.018679596389024406,0.030514504267428143,0.02913412716023637,0.032337821083468846,0.0019962859866952767,0.009743055396454169,0.011360410350188681,0.003471286712072969,0.017493858337156002,0.022497394109014333,0.018227489108788856,0.01873011077250654,0.033108326661616054,0.036623451979554085,0.008642020156689464,0.026276907046667183,0.01563362459673454,0.02549526022550635,0.030684782046525323,0.014350460018965222,0.022429559111396245,0.0025699699595344715,0.011646321645954121,0.014323547211995528,0.03585375218212174,0.010024628578684296,0.023760424255188657,0.011994579725755353,0.01953163191276068,0.03208505413590085
