Date,BP,ACB,LYFT,CRON,AAL,KO,WFC,BX,DAL,MVIS,AMC,AAPL,BB,MSFT,SPCE,FUBO,SNDL,T,ROKU,W,BABA,ABNB,DASH,FOUR,PLTR,CWH,TLRY,DXCM,TSLA,ESTC,MDB,BA,LUV,AMZN,SUMO,BYND,APHA,HEXO,NIO,MARA,OGEN,BBBY,XNET,DDOG,HAIN,DRIV,RIOT,ODT,AGCB,ALRN,PRGO,FB,CHWY,ESPR,AFRM,DOCU,AMD,OEG,ENG,NVDA,FTCH,HOL,ASPL,CCIV,HTZGQ,CCV
2018-12-31,33.03714370727539,59.52000045776367,,10.390000343322754,31.599044799804688,44.37711715698242,42.454750061035156,27.188213348388672,48.247188568115234,0.6000000238418579,11.350496292114258,38.46113967895508,7.110000133514404,99.04086303710938,10.0,,,24.69452476501465,30.639999389648438,90.08000183105469,137.07000732421875,,,,,10.119933128356934,70.54000091552734,119.80000305175781,66.55999755859375,71.4800033569336,83.73999786376953,313.3722229003906,45.678123474121094,1501.969970703125,,,5.690000057220459,,6.369999885559082,1.440000057220459,0.8600000143051147,10.517777442932129,3.4000000953674316,,15.859999656677246,11.456958770751953,1.5099999904632568,14.079999923706055,,0.8399999737739563,37.451080322265625,131.08999633789062,,46.0,,40.08000183105469,18.459999084472656,1.2300000190734863,0.5699999928474426,132.7615966796875,17.709999084472656,,,,11.8592529296875,
2019-01-02,33.620872497558594,62.880001068115234,,11.3100004196167,31.963159561157227,43.98349380493164,43.2470817565918,27.42534637451172,48.43088912963867,0.699999988079071,11.914325714111328,38.50502395629883,7.110000133514404,98.60206604003906,10.020000457763672,,,25.559785842895508,32.52000045776367,90.47000122070312,136.6999969482422,,,,,11.319854736328125,70.45999908447266,115.18000030517578,62.02399826049805,66.37000274658203,79.94999694824219,314.6451416015625,46.32673645019531,1539.1300048828125,,,6.010000228881836,,6.199999809265137,1.5199999809265137,0.8700000047683716,11.131004333496094,3.680000066757202,,16.219999313354492,11.555218696594238,1.7100000381469727,14.25,,1.0199999809265137,39.14241409301758,135.67999267578125,,45.709999084472656,,40.81999969482422,18.829999923706055,1.2899999618530273,0.6499999761581421,135.46653747558594,17.360000610351562,,,,12.198088645935059,
2019-01-03,33.81254577636719,61.68000030517578,,11.539999961853027,29.5816650390625,43.71169662475586,42.90619659423828,26.659221649169922,44.099281311035156,0.7599999904632568,12.071456909179688,34.669639587402344,6.880000114440918,94.97469329833984,10.0,,,25.59439468383789,30.100000381469727,84.58000183105469,130.60000610351562,,,,,11.452198028564453,70.0,112.26000213623047,60.071998596191406,64.01000213623047,75.88999938964844,302.1005554199219,44.8231315612793,1500.280029296875,,,5.96999979019165,,6.050000190734863,1.5199999809265137,0.8600000143051147,10.675728797912598,3.380000114440918,,16.489999771118164,11.191662788391113,1.5399999618530273,13.319999694824219,,1.0700000524520874,38.533531188964844,131.74000549316406,,44.45000076293945,,38.83000183105469,17.049999237060547,1.440000057220459,0.7599999904632568,127.28205108642578,16.399999618530273,,,,11.529105186462402,
2019-01-04,34.875450134277344,62.63999938964844,,11.779999732971191,31.530160903930664,44.583309173583984,44.17762756347656,27.57127571105957,46.20707702636719,0.7900000214576721,12.515124320983887,36.149662017822266,7.230000019073486,99.39189910888672,10.039999961853027,,,26.25199317932129,33.72999954223633,90.05999755859375,139.75,,,,,12.352140426635742,69.94999694824219,116.23999786376953,63.53799819946289,67.80999755859375,81.7300033569336,317.8226013183594,47.0343132019043,1575.3900146484375,,,6.039999961853027,,6.360000133514404,1.600000023841858,0.8700000047683716,11.103130340576172,3.5,,17.040000915527344,11.635790824890137,1.649999976158142,13.619999885559082,,1.0369999408721924,40.90140914916992,137.9499969482422,,41.72999954223633,,40.900001525878906,19.0,1.4759999513626099,0.7400000095367432,135.43670654296875,17.3799991607666,,,,12.189400672912598,
2019-01-07,34.98870849609375,63.119998931884766,,12.399999618530273,32.42567825317383,44.002235412597656,43.89201354980469,28.392120361328125,46.26508331298828,0.8199999928474426,13.051223754882812,36.0692024230957,7.429999828338623,99.51866912841797,10.029999732971191,,,26.727882385253906,42.18000030517578,95.55000305175781,143.10000610351562,,,,,12.960925102233887,71.9000015258789,129.9499969482422,66.99199676513672,73.0999984741211,85.69999694824219,318.8233947753906,47.04413986206055,1629.510009765625,,,6.409999847412109,,6.5,1.6799999475479126,0.8700000047683716,11.223917007446289,3.5999999046325684,,17.440000534057617,11.889297485351562,1.6299999952316284,13.979999542236328,,1.0800000429153442,42.55408477783203,138.0500030517578,,42.16999816894531,,41.689998626708984,20.56999969482422,1.524999976158142,0.75,142.6068115234375,18.75,,,,12.745438575744629,
2019-01-08,34.875450134277344,60.36000061035156,,12.359999656677246,31.904109954833984,44.498966217041016,43.79988098144531,28.63837432861328,45.89767074584961,0.7300000190734863,13.467159271240234,36.75679397583008,7.409999847412109,100.240234375,10.039999961853027,,,27.065338134765625,40.880001068115234,96.76000213623047,146.7899932861328,,,,,13.269726753234863,83.26000213623047,131.52000427246094,67.06999969482422,74.44999694824219,89.98999786376953,330.8919372558594,46.71983337402344,1656.5799560546875,,,6.329999923706055,,6.400000095367432,1.7200000286102295,0.8799999952316284,10.94517707824707,3.5799999237060547,,17.559999465942383,11.869647026062012,1.7000000476837158,14.210000038146973,,1.2400000095367432,43.414241790771484,142.52999877929688,,40.220001220703125,,42.08000183105469,20.75,1.5399999618530273,0.7400000095367432,139.05657958984375,19.520000457763672,,,,12.623805046081543,
2019-01-09,35.1629524230957,65.4000015258789,,12.979999542236328,32.88819885253906,43.646095275878906,44.039424896240234,28.948471069335938,46.86455154418945,0.7099999785423279,12.89409065246582,37.380985260009766,7.46999979019165,101.67362213134766,10.0600004196167,,,26.476003646850586,42.099998474121094,98.31999969482422,151.9199981689453,,,,,12.855050086975098,79.69999694824219,138.75,67.70600128173828,77.01000213623047,86.62000274658203,334.0984802246094,48.23326873779297,1659.4200439453125,,,6.789999961853027,,6.630000114440918,1.6799999475479126,0.8799999952316284,11.39116096496582,3.569999933242798,,17.899999618530273,12.125118255615234,1.7300000190734863,14.329999923706055,,1.1399999856948853,42.7183837890625,144.22999572753906,,40.70000076293945,,42.66999816894531,20.190000534057617,1.6399999856948853,0.75,141.79136657714844,19.540000915527344,,,,13.397046089172363,
2019-01-10,35.459171295166016,71.27999877929688,,13.0600004196167,31.530160903930664,44.11470031738281,43.99336242675781,28.939350128173828,47.11594009399414,0.7400000095367432,12.690743446350098,37.500465393066406,7.519999980926514,101.02032470703125,10.039999961853027,,,26.739885330200195,40.15999984741211,99.2300033569336,151.69000244140625,,,,,11.813940048217773,80.4000015258789,141.89999389648438,68.99400329589844,74.88999938964844,75.19999694824219,342.6300048828125,48.144813537597656,1656.219970703125,,,6.579999923706055,,6.659999847412109,1.600000023841858,1.0499999523162842,13.277299880981445,3.440000057220459,,17.920000076293945,12.10546588897705,1.6299999952316284,14.970000267028809,,1.1399999856948853,42.428443908691406,144.1999969482422,,42.220001220703125,,44.029998779296875,19.739999771118164,1.5700000524520874,0.7400000095367432,144.42672729492188,19.139999389648438,,,,13.596872329711914,
2019-01-11,35.05841064453125,76.55999755859375,,13.670000076293945,31.29397964477539,44.36774826049805,44.10390853881836,29.158239364624023,46.951568603515625,0.7599999904632568,12.968035697937012,37.13228988647461,7.570000171661377,100.240234375,10.039999961853027,,,27.15329933166504,39.56999969482422,96.4000015258789,151.32000732421875,,,,,11.92863941192627,96.0,141.10000610351562,69.4520034790039,74.7699966430664,74.4800033569336,342.9118347167969,47.682926177978516,1640.56005859375,,,6.920000076293945,,6.590000152587891,1.559999942779541,1.0,14.15068244934082,3.4600000381469727,,17.809999465942383,12.193900108337402,1.6200000047683716,14.920000076293945,,0.9629999995231628,43.82017517089844,143.8000030517578,,43.900001525878906,,43.47999954223633,20.270000457763672,1.6100000143051147,0.7400000095367432,148.00677490234375,18.469999313354492,,,,14.005212783813477,
2019-01-14,35.21522521972656,81.36000061035156,,13.760000228881836,31.20541000366211,44.18967819213867,44.61064147949219,29.1673641204834,46.168399810791016,0.75,13.060464859008789,36.57392120361328,7.489999771118164,99.5089111328125,10.029999732971191,,,26.933399200439453,39.459999084472656,93.66000366210938,149.27000427246094,,,,,12.175682067871094,100.1500015258789,142.74000549316406,66.87999725341797,71.31999969482422,73.73999786376953,340.4436950683594,47.918785095214844,1617.2099609375,,,7.050000190734863,,6.800000190734863,1.5199999809265137,0.9700000286102295,14.252888679504395,3.4800000190734863,,17.790000915527344,12.116275787353516,1.6200000047683716,15.260000228881836,,1.0700000524520874,44.18743896484375,145.38999938964844,,42.560001373291016,,43.220001220703125,20.229999542236328,1.5800000429153442,0.75,149.6078643798828,18.549999237060547,,,,14.074718475341797,
